switch_amplitude,switch_frequency
2,0.0
4,0.02
19,0.04
4,0.06
3,0.08
3,0.1
4,0.12
3,0.14
4,0.16
4,0.18
4,0.2
4,0.22
4,0.24
4,0.26
4,0.28
4,0.3
4,0.32
4,0.34
5,0.36
5,0.38
5,0.4
5,0.42
5,0.44
5,0.46
5,0.48
5,0.5
5,0.52
5,0.54
5,0.56
5,0.58
5,0.6
5,0.62
5,0.64
5,0.66
5,0.68
5,0.7
5,0.72
5,0.74
5,0.76
5,0.78
5,0.8
5,0.82
5,0.84
5,0.86
5,0.88
5,0.9
5,0.92
5,0.94
5,0.96
5,0.98
5,1.0
5,1.02
5,1.04
5,1.06
5,1.08
5,1.1
5,1.12
5,1.14
5,1.16
5,1.18
5,1.2
5,1.22
5,1.24
5,1.26
5,1.28
5,1.3
5,1.32
5,1.34
5,1.36
5,1.38
5,1.4
5,1.42
5,1.44
5,1.46
5,1.48
5,1.5
5,1.52
5,1.54
5,1.56
5,1.58
5,1.6
5,1.62
5,1.64
5,1.66
5,1.68
5,1.7
5,1.72
5,1.74
5,1.76
5,1.78
5,1.8
5,1.82
5,1.84
5,1.86
5,1.88
5,1.9
5,1.92
5,1.94
5,1.96
5,1.98
5,2.0
5,2.02
5,2.04
5,2.06
5,2.08
5,2.1
5,2.12
5,2.14
5,2.16
5,2.18
5,2.2
5,2.22
5,2.24
5,2.26
5,2.28
5,2.3
5,2.32
5,2.34
5,2.36
5,2.38
5,2.4
5,2.42
5,2.44
5,2.46
5,2.48
5,2.5
5,2.52
5,2.54
5,2.56
5,2.58
5,2.6
5,2.62
5,2.64
5,2.66
5,2.68
5,2.7
5,2.72
5,2.74
5,2.76
5,2.78
5,2.8
5,2.82
5,2.84
5,2.86
5,2.88
5,2.9
5,2.92
5,2.94
5,2.96
5,2.98
5,3.0
