switch_amplitude,switch_frequency
4,0.0
6,0.02
27,0.04
5,0.06
4,0.08
4,0.1
6,0.12
5,0.14
5,0.16
5,0.18
5,0.2
6,0.22
6,0.24
6,0.26
6,0.28
6,0.3
7,0.32
7,0.34
7,0.36
7,0.38
7,0.4
7,0.42
7,0.44
7,0.46
7,0.48
7,0.5
7,0.52
7,0.54
7,0.56
7,0.58
8,0.6
8,0.62
8,0.64
8,0.66
8,0.68
8,0.7
8,0.72
8,0.74
8,0.76
8,0.78
8,0.8
8,0.82
8,0.84
8,0.86
8,0.88
8,0.9
8,0.92
8,0.94
8,0.96
8,0.98
8,1.0
8,1.02
8,1.04
8,1.06
8,1.08
8,1.1
8,1.12
8,1.14
8,1.16
8,1.18
8,1.2
8,1.22
8,1.24
8,1.26
8,1.28
8,1.3
8,1.32
8,1.34
8,1.36
8,1.38
8,1.4
8,1.42
8,1.44
8,1.46
8,1.48
8,1.5
8,1.52
8,1.54
8,1.56
8,1.58
8,1.6
8,1.62
8,1.64
8,1.66
8,1.68
8,1.7
8,1.72
8,1.74
8,1.76
8,1.78
8,1.8
8,1.82
8,1.84
8,1.86
8,1.88
8,1.9
8,1.92
8,1.94
8,1.96
8,1.98
8,2.0
8,2.02
8,2.04
8,2.06
8,2.08
8,2.1
8,2.12
8,2.14
8,2.16
8,2.18
8,2.2
8,2.22
8,2.24
8,2.26
8,2.28
8,2.3
8,2.32
8,2.34
8,2.36
8,2.38
8,2.4
8,2.42
8,2.44
8,2.46
8,2.48
8,2.5
8,2.52
8,2.54
8,2.56
8,2.58
8,2.6
8,2.62
8,2.64
8,2.66
8,2.68
8,2.7
8,2.72
8,2.74
8,2.76
8,2.78
8,2.8
8,2.82
8,2.84
8,2.86
8,2.88
8,2.9
8,2.92
8,2.94
8,2.96
8,2.98
8,3.0
